epoch,train_loss,train_dice,val_loss,val_dice
1,0.5336753059922067,0.2777462552225235,0.2552571335871672,0.6031122441435682
2,0.21782623057010447,0.6383516638423069,0.1906740478207839,0.687222726610971
3,0.17519527829139475,0.6980474267845515,0.16725954692810774,0.7171975439735527
4,0.155311008127339,0.7263977958231516,0.1799033117191545,0.6958693903068016
5,0.14260785560857211,0.74278078470396,0.1663313654155053,0.7340706881007244
6,0.1378031662480427,0.7542268589706732,0.15493845197789627,0.730621717227944
7,0.1288323430522422,0.7619798441310592,0.15363749160013837,0.7410968330142826
8,0.12687210952309444,0.7678513631938522,0.15781040523393913,0.7264206056194059
9,0.12052147997040974,0.778371451181982,0.15235888697849265,0.7482486335111076
10,0.11585521490971563,0.7854262562325115,0.15209609009967795,0.7400119641859983
11,0.11567965743029114,0.79077781081486,0.15814668871462345,0.7235785695756304
12,0.1080412926570554,0.7987428660337874,0.1483158164753996,0.7449228604292047
13,0.10651115175473035,0.8037587551784195,0.16517267742290578,0.7369574966101811
14,0.10396122649774715,0.8056008184265935,0.16368031421483592,0.7317872976820017
15,0.10072446892318769,0.8095910890289378,0.1604697964443215,0.737188194075535
16,0.09830397770358468,0.8150724734445627,0.16268046579227366,0.7419887142705506
17,0.09702536353353024,0.8180959504773495,0.16409827537577729,0.7314985986028252
18,0.09494246817698145,0.8224082603769405,0.17683442164983215,0.7253027392615532
19,0.09587664120324399,0.8190938165042949,0.18599156219640683,0.7341708256381339
20,0.09495227441790804,0.823791305682347,0.1830453945901887,0.7346923162454161
21,0.09223362198939859,0.8283103702476203,0.1716638333806447,0.7381750462769434
22,0.09121434188560601,0.8275960503262715,0.16636414040715017,0.7470006003718952
23,0.0881644649709913,0.8346641937569572,0.17167181868491502,0.7360757146159123
24,0.08820177254023825,0.8350877326875942,0.18246743333493842,0.7333100751235053
25,0.08573476097995372,0.8393938054996155,0.16868460300410615,0.7362295448587373
26,0.08703372358332631,0.835745093351446,0.16722549559098893,0.7347322733237825
27,0.08614219926572514,0.8393086209048326,0.16541720265201454,0.7348012098528701
28,0.08304231115834364,0.8416600373391687,0.17853186607103924,0.734495183966797
29,0.08550750716112855,0.8422583120503322,0.18040733495406036,0.7376041386340713
30,0.08232604072111878,0.8438675308943796,0.16970670833412943,0.729272513441613
31,0.08282662481919817,0.8450392458910774,0.1799238228303348,0.7381822949853437
32,0.08128121309081239,0.8457153702764775,0.18460991008785263,0.739558152597526
33,0.07935769826118418,0.8505945704897857,0.18305343574169894,0.7271855362562527
34,0.0785180520728001,0.8527668277019849,0.18440432677944674,0.7346965227404545
35,0.07981574342530735,0.8504620120234399,0.17635326357237224,0.7320972737567178
36,0.0796023300325403,0.8496409816461578,0.2035805681431345,0.7188751598627403
37,0.07782676010224533,0.853023406645113,0.20122428914403606,0.7195450516481852
38,0.07624897642521833,0.8548529328711156,0.19607959568885894,0.7489477719726234
39,0.07599301710566644,0.8561978624704114,0.17557827722088531,0.7338193228532528
40,0.07722451548994719,0.8548571698415165,0.19056107983763876,0.7299802080117936
41,0.07641423343247764,0.8553419159788819,0.19448479072287164,0.7340306296366556
42,0.07638590370137797,0.8554162179896192,0.2016239872138048,0.7062170463694453
43,0.08276894466996967,0.8448540939189048,0.19187948424047951,0.7379267638356521
44,0.07728082702431883,0.8556286825282374,0.1771180574011443,0.725493321323703
45,0.07447401127696923,0.8562083629588846,0.19869201341322784,0.7266906334472627
46,0.07482919901942602,0.8580893417994911,0.185687941306367,0.7311519720944865
47,0.07597950254438442,0.8550215119559262,0.1911104934546968,0.7393166014346583
48,0.073167862740371,0.8613316255922039,0.21903424379255237,0.7400888112084619
49,0.08037405048898419,0.8521609523286943,0.1939261070259943,0.7334393704117372
50,0.0757702899757662,0.8594668299200044,0.19280850538855482,0.7445974355113918
