epoch,train_loss,train_dice,val_loss,val_dice,h_cost
1,0.5911184026110292,0.21598718519208532,0.3030965669594448,0.5365800542499999,0.02755198790992867
2,0.2514880087726894,0.6212246915998059,0.2094304839406034,0.6828960514354423,0.017273618804054047
3,0.1901996390945466,0.6933859013486143,0.17065837361111208,0.6939028282168096,0.00990260074091754
4,0.16524598445059166,0.7231410451758151,0.1773024888805531,0.7238629000454113,0.006851761267673032
5,0.1516644899681954,0.7430670844035373,0.1622245758129605,0.7258932931541369,0.007943844608862178
6,0.14269354324609895,0.7553272918375181,0.1668019817724567,0.7456813232395155,0.008089131671144499
7,0.1310025116788607,0.7694794467518804,0.16593222872450433,0.742687971941356,0.006974283018970364
8,0.124951515035336,0.7756149843246172,0.1733391141390492,0.7374522175704097,0.006315782440902569
9,0.12101412722850792,0.7856645288429556,0.16395172838057423,0.7414140231457764,0.0049628810576340865
10,0.1152910535073505,0.7924484250575752,0.16707734182348538,0.7273846943220444,0.0066051375342167686
11,0.11186147629502852,0.8006941281668343,0.17082181640354724,0.7328804922932438,0.006020369349902592
12,0.10852301165890621,0.8048749176973823,0.17713761077551493,0.7360470673262045,0.0046247181119818785
13,0.10545212718373413,0.8116530155804905,0.1737578351146959,0.7438645551687685,0.004762729251022643
14,0.10140911031973147,0.8195434040307944,0.1844916276890656,0.742134802043438,0.005576654043172061
15,0.10052919083160215,0.8190242209265113,0.1831674711168583,0.7212821775083912,0.00624886294425433
16,0.0974600385106317,0.8264956578713752,0.19008896426008692,0.7369934035754152,0.005032056651982892
17,0.09602079992199855,0.828233472694212,0.18405400528090782,0.7521172255791467,0.005385123441399252
18,0.09384115423162857,0.8312549847731797,0.1885098972325695,0.729185357159967,0.006452407182348844
19,0.09130731826332238,0.8358974923611768,0.1793193662346437,0.7389416234118158,0.004162822345812134
20,0.09360922118520361,0.8334451225622088,0.1880127857599793,0.7395281437142142,0.004471122366496651
21,0.08952214521496317,0.8410879064781598,0.19892426710254674,0.721324191878325,0.006652838995470465
22,0.0880866827477351,0.8426106970418665,0.17466495548985128,0.7409676077679314,0.0052725447211710635
23,0.08810264027070436,0.8423689362432831,0.19126145898139682,0.7342139735239847,0.0041415150858640495
24,0.08704323548442465,0.8462101885675197,0.18908043624833226,0.7316553876253551,0.00420113148601527
25,0.08640627709767068,0.8447263777950944,0.18699658731127095,0.732987428148245,0.00475137895836238
26,0.08304184205353561,0.8496750786184152,0.19163861647569413,0.7383595765407743,0.004426706818525543
27,0.08559651234268256,0.8472915201725288,0.19262965396046638,0.7394830422668621,0.004657453125752187
28,0.08434983294342512,0.8491479639463506,0.19358675983124252,0.7413853346209588,0.004300205507739708
29,0.08066258737431828,0.8546936989767687,0.1873173025468814,0.7420808174486818,0.004476991661218123
30,0.08121074687179392,0.8528047334782468,0.19659894223100152,0.7285292691326347,0.0044693156544561696
31,0.07983467723549424,0.8557269008942062,0.20442701046001807,0.7146355528384447,0.003753920738933536
32,0.08061340402252182,0.8552519545718363,0.21445418187770351,0.7392403392185425,0.003937581785631382
33,0.08080507885870344,0.8538660030167415,0.20605765389085845,0.7315749540154276,0.004040021671620519
34,0.07803917020774839,0.8596646963315735,0.1988101452428462,0.737316562633576,0.006072904504341343
35,0.07821717583317302,0.8596410658700772,0.19652961454643258,0.7355891976762434,0.0038477716048434777
36,0.07692552477985447,0.8598500030542552,0.21302582154949679,0.733540203422308,0.003720866045741473
37,0.07908617159561304,0.8572474529079325,0.2003814465976481,0.7346412354502184,0.00533890704248514
38,0.07748497849539904,0.8572459292681966,0.20553838201509467,0.7302130719582582,0.003957507082932039
39,0.07967544813994358,0.8568397024606735,0.21563554865083304,0.7359346100932052,0.0038103610004641113
40,0.07784800026333454,0.8603000900418417,0.1967458313266779,0.736255662323072,0.005843005412441863
41,0.07590105464917285,0.8594663646748507,0.21674149941074952,0.7357004731251248,0.003646385565107933
42,0.07343518529522318,0.86444229057496,0.215303057820761,0.7302595162443046,0.003812191013633404
43,0.07499312067756848,0.8640754750090717,0.21129985868224296,0.7323603565836775,0.005034731078890688
44,0.07786928548234379,0.8583192347825237,0.20024118089149223,0.7285606088116765,0.004233238100353227
45,0.07323077380088219,0.8645777678289256,0.21484385536790923,0.7279916476650998,0.0036065751697794348
46,0.07545002880570481,0.8622208314992793,0.2004164445920494,0.7366452192694977,0.004071116382090559
47,0.0733243055734215,0.8645464048539996,0.21319311687016282,0.7309336874890944,0.003667610500170228
48,0.0718702378737416,0.8647589566566184,0.21951268178186026,0.7290542013943195,0.0035238420258261564
49,0.07563971119909102,0.8592851505517928,0.2075034119670504,0.7276657820390217,0.004049334267682721
50,0.07516106208064643,0.8633960155639678,0.21499295515040384,0.7249038191191082,0.0038813905801397407
